tokenId,estimatedPrice
14,0.84
103,0.01
37,0.01
144,0.01
50,0.01
508,0.01
95,0.01
2,0.6
26,0.01
36,0.48
133,0.01
145,0.01
58,0.01
105,0.18
51,0.01
77,0.01
20,0.01
69,0.01
102,2.75
61,0.6
52,0.01
70,0.6
150,0.01
120,0.01
64,0.168
22,0.01
80,0.01
81,0.3
27,0.3
79,0.01
67,0.01
75,0.0012
93,0.01
87,0.01
158,0.01
21,0.06
45,0.01
140,0.01
141,0.01
138,0.01
155,0.01
159,0.01
160,0.01
518,0.01
532,0.01
167,0.01
176,0.6
171,0.01
175,0.01
610,0.01
548,0.18
512,0.12
506,0.12
549,0.18
525,0.12
530,0.12
531,0.01
538,0.01
210,0.24
249,0.01
260,0.01
535,0.01
33,0.01
32,0.01
78,0.3
97,0.01
106,0.01
56,0.01
188,0.01
43,0.01
517,0.01
124,0.44
189,0.01
5,0.44
179,0.01
104,0.01
187,0.01
34,0.01
128,0.01
12,0.01
53,0.01
88,0.01
183,0.01
118,0.01
139,0.01
17,0.01
149,0.01
107,0.01
534,0.01
130,0.01
597,0.33
523,0.01
522,0.01
28,0.143
74,0.01
38,0.01
108,0.01
173,0.01
15,0.44
16,0.01
135,0.22
13,0.01
89,0.011
11,0.01
47,0.22
117,0.01
40,0.01
18,0.36
8,0.01
510,0.77
92,0.01
491,0.01
134,0.01
85,1.1
152,0.01
68,0.01
65,0.01
66,3.3
63,0.01
44,0.01
148,0.01
129,0.01
48,0.01
113,1.1
156,0.01
49,0.01
115,0.01
142,0.01
116,0.01
126,0.01
184,0.01
99,0.01
90,0.01
60,0.01
533,0.01
157,0.011
94,0.01
112,0.01
73,0.01
72,0.01
82,0.01
29,0.01
121,0.01
9,0.01
91,0.01
1,2.42
71,0.01
39,0.01
76,0.01
3,0.01
147,0.01
123,0.01
136,0.01
214,0.01
127,0.01
131,0.022
110,0.01
86,2.75
7,0.715
151,0.011
46,0.01
177,0.01
122,0.011
55,0.011
143,0.011
119,0.01
178,0.01
543,0.01
