tokenId,currentPrice
14,
37,
120,
80,
95,
2,
26,
87,
133,
67,4
145,10
58,
51,
93,1.5
105,
77,
20,
69,
61,
52,1
21,2
70,0.8
50,1.5
64,
22,
81,
27,
79,
138,
150,
158,
155,
75,
57,
103,
159,
160,
45,2.3
36,
140,50
141,40
144,10
680,
167,0.1337
681,
300,
171,
175,
102,
30,
492,0.15
180,
174,
659,
261,
210,
609,
56,
54,
32,
662,
5,
42,3
78,
97,
106,
132,100
156,30.123456789
19,
607,
18,
33,
43,
177,
606,2
28,
3,
664,
514,
104,
181,2
9,
128,
529,
520,
605,0.45
88,
183,0.15
661,0.25
12,
139,
17,
614,
107,
188,
157,
612,
149,
615,0.5
185,
658,
186,
130,
123,
74,0.45
38,
108,
15,
118,10
509,
136,0.5
13,
89,
55,
91,4
163,
47,
117,
135,
516,
8,
184,0.2
92,1.5
513,
542,1
491,
53,
663,
168,
39,
65,
66,
68,
613,0.5
148,
499,
48,5
85,
113,
687,
49,
616,
617,0.5
526,
610,
621,
178,
599,
624,
504,
528,
611,
671,
515,
503,
347,
165,
622,1
521,
500,
655,
176,
672,
493,0.15
192,
193,
194,
196,
197,
198,
199,
200,
201,
202,
203,
205,
206,
207,
209,
211,
212,
215,
216,
217,
219,
220,
221,
223,
224,
225,
226,
227,
228,
229,
230,
232,
233,
234,
235,
236,
299,
260,
512,
506,
162,
552,
508,
518,
543,
249,
525,
530,
531,
538,
532,
297,
341,
195,
213,
222,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
250,
251,
252,
253,
254,
256,
257,
258,
262,
263,
264,
265,
266,
267,
268,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
292,
293,
548,0.5
295,
298,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
259,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
524,
674,
535,0.5
678,
679,
623,
544,
231,
527,
182,
496,0.5
598,
682,
208,
676,0.5
600,
255,
187,2
670,
673,
191,
618,
494,
656,
523,
522,0.15
533,
601,
204,
164,
505,100
596,
547,1.1
384,
495,0.5
510,
269,
517,
172,
534,
189,
190,
686,
597,2
511,
602,
338,
339,
340,
342,
377,
378,
291,
380,
381,
382,
383,
549,0.25
386,
387,
388,
389,
390,
391,
392,
393,
395,
396,
397,
398,
399,
400,
401,
402,
404,
405,
406,
407,
408,
409,
410,
411,
413,
414,
415,
416,
417,
418,
419,
420,
422,
423,
425,
426,
427,
428,
429,
431,
432,
433,
435,
436,
437,
438,
440,
441,
442,
443,
444,
445,
446,
447,
449,
344,
345,
348,
349,
350,
351,
352,
353,
354,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
376,
385,
394,
403,
421,
430,
439,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,
461,
462,
463,
464,
466,
467,
468,
469,
470,
471,
473,
474,
475,
476,
477,
478,
479,
480,
481,
482,
483,
484,
486,
487,
488,
489,
379,
296,
343,
586,
490,
627,
346,
375,
551,0.25
628,
553,
541,
690,42.8
498,
654,1
562,0.1
563,0.1
545,
559,
660,9.19
573,
579,
639,
584,
633,0.5
587,
635,0.7
636,0.8
637,0.9
638,1
634,0.6
536,
647,
653,
700,
704,
557,0.15
625,
594,0.14
550,0.25
561,
554,
574,
412,
434,
591,
848,
465,
578,
564,1
699,0.44
576,0.2
631,
652,
214,
577,0.5
575,
632,
650,
581,0.35
485,
572,0.5
355,
472,
589,
448,
565,
570,
582,
588,
646,0.75
642,
567,
640,
294,
590,
643,
560,
629,
630,
648,
695,
566,22.3
708,1
711,
697,
732,
757,
754,
840,
841,
709,2
751,
714,0.5
790,
832,
842,
718,
719,
717,
716,1
721,
759,1
705,
801,
725,
824,3
595,
698,
810,
788,
728,
822,0.4
782,
726,
729,
781,
811,
685,
569,
799,
823,3
783,
771,0.99
774,
773,0.88
740,
829,
766,0.5
497,1
608,
808,
769,
778,1
802,0.3
795,
800,
756,
845,0.5
738,
847,
736,
804,0.3
772,
835,
737,
720,
689,
827,1.5
836,
753,
767,
764,0.5
758,2
815,5.5
793,
775,
724,1.5
593,
785,0.25
789,
794,
734,
776,
786,
806,
712,1.8
715,1
761,
710,
844,
837,
812,
820,
813,
657,
537,
750,
805,
735,0.8
752,
818,
809,
649,0.33
803,0.3
683,
814,
846,
777,
707,
821,2
739,
819,
730,
798,1.2
762,0.5
755,
571,
723,
693,
792,
817,
796,
826,3
791,
583,7.8
838,
797,
839,
768,
645,3
916,0.5
864,
849,
850,0.65
851,
852,
876,
917,0.5
951,
860,
546,50
863,3
918,0.5
904,2
424,
857,5555
742,
898,
969,
866,0.5
913,
955,
964,
702,
879,
897,0.7
919,2
985,
960,0.75
869,
626,
979,
865,
921,2
872,
875,
787,1
858,1
833,0.6
877,
218,
922,1
910,
920,
831,
765,
906,
923,
942,
930,5
854,
731,
903,
938,
883,
959,0.75
853,
855,
911,
974,5
954,
926,0.5
889,
856,
905,
871,
927,0.33
947,
899,
867,
924,1
935,5
885,
892,
915,
970,1.5
878,1
961,
874,
975,
882,
873,
945,
956,
701,
886,
949,
894,
943,
950,
937,1
784,
914,
834,
934,
887,
893,
880,
900,
940,1
890,
861,
931,
901,
884,
859,
984,
936,2.5
978,
941,
909,
946,
965,
925,1.05
958,0.25
928,
957,
908,
966,
862,
952,
933,0.25
902,
967,
881,
983,
932,
982,3
963,
980,
968,
760,0.5
763,0.5
973,
929,
868,
620,
971,
953,
1032,3
1012,
713,
1091,
770,
991,
907,6
1039,
592,
1068,
1105,
1030,
1033,
1005,
1121,0.3
972,1
998,
1087,0.5
999,
1046,0.333
1131,
1075,
1043,0.5
1101,
1061,
1112,
1113,2
1004,
1038,
1054,0.75
1037,
1042,
989,
1052,
1130,1
990,
992,
1026,
1078,
1010,
912,
1092,
1007,0.5
1028,
1006,
1055,
1103,
1089,
1047,1.8
1018,2.5
1031,
1127,0.5
1049,
1024,2
1050,
1022,
1021,
1020,
1025,
1123,1
1002,
1019,
1100,
1057,0.6
830,0.5
1053,
1034,1
1063,
1027,
1016,
1056,0.6
1079,1
1011,
1111,1
1040,
1048,0.8
1023,
1029,
1081,2
1094,2.5
1074,
1058,
1132,
1059,
1073,
1120,
1060,
1035,0.8
1125,
1001,
1084,2
997,
1122,5
993,
1062,1
1064,
1065,1
1114,0.5
1128,
1097,
1095,
1085,
1069,
555,0.15
1088,2
1082,
987,1
948,
896,
1096,3
1041,
1129,
1008,
1090,
1126,0.5
641,
1093,2
1017,
995,2
1124,4
1051,
996,5
1044,
1104,0.4
1110,
977,
1099,0.6
1119,0.3
1077,
1086,0.5
1117,
1036,0.5
1102,2
1000,
1106,0.5
1115,0.5
994,
1281,0.6
1197,
1284,
1247,
1273,
1235,
1241,
1203,2
1229,0.7
1139,
1260,
1142,
1145,
1136,25
1204,
1176,
1140,
1146,
1172,
1210,1
1135,10
1144,
1219,
1213,0.5
1150,3.14
1148,
1149,
1147,
1157,
1158,
675,
1242,
1161,
1243,
1159,
1164,
1165,
1167,
1168,
1098,1
1189,0.3
1266,0.5
1270,
1211,0.5
1267,1
1178,
1225,
1009,
1175,0.5
1173,
1070,
1137,
1216,0.5
1181,0.7
1221,
1201,
1180,
1194,0.333
1276,
1184,
1187,0.4
1227,
1188,
1279,0.333
1185,
1177,2
1138,0.85
1133,
1190,
1228,1.2
1193,
1212,0.2
1195,0.5
1196,0.5
1169,1.5
1170,
1186,
1199,
1233,0.8
1222,
1237,
1277,
1283,
1206,1
1151,
1218,
1249,0.5
1217,0.5
1155,
1182,
1162,3.5
1154,10.1337
1220,
1248,
1179,1.5
1183,
988,1.5
1108,
1232,
1202,5
1240,
1246,0.3
1253,0.5
1254,0.5
1255,0.5
1257,
1259,0.5
1209,
1198,
1207,
1250,
1245,
1109,0.4
1116,
1231,
1269,
1166,1
1239,
1214,
1262,1.2
1263,
1134,
1265,
1215,0.4
1275,
1271,0.5
1208,
1107,
1192,
1223,
1272,
1286,
1224,
1274,1.1
1163,
1205,1.1
1282,2.1
1285,
1268,
1334,
1290,
1292,
1294,0.8
1403,0.8
1296,0.5
1297,1.5
1408,
126,
1300,1.5
1407,0.6
1302,
1303,0.6
1412,
1389,0.333
90,
1306,
1309,
1310,1
1332,
1312,
1313,0.8
1402,1
1307,
1315,0.7
1318,
1317,0.5
1258,
1392,
1320,
1321,1.2
677,
1356,
1323,2.5
1305,
1351,
112,1
1327,0.5
73,1
1375,
72,1
1333,0.7
1299,
1295,
1335,1.4
1348,
1289,
1338,1
1358,1.2
1397,
1314,
1331,
1357,
1301,1.8
1326,
1325,
1322,
1376,3.1
1342,1.6
1411,
142,30
1353,
1341,
1304,
1316,
1388,
1404,
1311,1
1349,
1280,
1350,
1365,0.101010101
1355,
1354,
44,
1382,
115,
1364,
1256,0.5
1346,
1367,0.101010101
1252,0.5
1343,
1378,2.5
1344,
1398,
1366,0.2
1362,
1410,
99,
1340,
1345,
1336,
1379,
502,
116,
1045,
1339,
1330,
1391,5
1359,
1380,
568,
114,
1298,
59,
119,20
1308,
1396,
62,
1319,
1370,
1369,1
1399,
1373,2
1385,
1405,0.5
1361,0.7
1387,1.3
1076,
1390,
1395,5
1383,
1377,2.4
1337,0.5
1328,1.33
1371,
1287,
82,
1393,
1324,
1400,1
1288,1
1394,
1406,0.7
1386,1.01
1329,
1413,0.5
603,
1490,
1504,3
1416,
1401,
1422,1
1415,
1424,1
1421,1.5
1418,1
1440,5
16,
1428,
1278,
1540,
1507,0.5
1381,10
1539,1.8
1481,
1431,
1432,
1524,0.5
1434,
1437,1
1438,
1499,
1420,
1443,0.4
1444,0.3
1528,0.2
1427,
1442,
1474,
1511,
1433,
501,
1487,
1384,
1449,2
1450,
1447,2
1439,
1506,
1452,1.5
1477,1.5
1454,0.5
1495,
1436,
1467,
29,20
1426,
1483,
1453,
1465,4
1486,
1461,1
1488,
1480,
1464,0.8
1466,5
1417,
1522,
1469,1
722,1
1458,1
1451,2
1425,0.5
1484,
1491,
1516,0.5
1510,
1526,
1537,
1485,1
1459,
1513,0.6
1463,
1515,0.7
1471,
1492,1.5
1532,
1536,
1473,0.5
1489,
1441,0.7
152,
1519,2
1497,
1496,1
1518,
1542,0.5
1530,1
558,
1475,
1470,1
1476,
1457,1
1456,
1423,
1430,0.5
1512,
1503,2.5
1502,
1460,0.3
1505,11.11
1498,
1535,
1445,2
1448,
1517,
63,1.25
1455,0.25
1520,0.25
1462,
1521,0.25
1523,1
1508,0.5
1352,
1525,1
1482,
1527,0.4
1494,0.3
1529,0.5
1547,
1446,0.5
1414,
1493,
1534,
580,2
1548,
1479,
1541,
1509,100
1478,
1546,0.5
1543,0.1
1625,
1692,
1655,1
1559,2
1561,1
1562,
1565,
1569,
1630,0.4
1691,0.4
1571,
1632,0.6
1563,
83,
1570,0.3
110,
1592,0.7
1589,1.3
1572,
1628,0.5
1681,1
1468,0.5
1533,
1635,
1636,1
1603,0.1
1694,
1638,3
1590,0.5
1639,3
1558,
1665,2
1593,1
1604,
1620,
1595,
1629,1.7
1596,0.5
1686,1.4
1567,
1652,
1614,
1618,
1684,
1584,0.03
1583,0.14
1582,0.03
1586,
1580,0.03
1579,
1669,1.5
1676,1.2
1574,
1575,
1611,1503
1626,0.4
1581,0.2
1587,
1577,0.1
1672,1
1609,
1619,0.75
1610,2.4
1612,
1613,
1576,0.1
1615,1.8
1647,
1616,1
1607,
1640,3
1641,3
173,
1662,
1654,
1598,
1627,0.9
1594,
71,0.5
1688,0.25
780,
1608,
1687,0.25
1689,1.2
1621,3
1651,0.5
1568,
1698,0.8
1673,
1699,
1650,
1653,1
1690,
1602,
1696,0.05
1585,
825,3
1588,0.5
1644,0.8
6,5000
1634,1.3
1597,
1649,
1658,
1660,
1659,1.8
1680,0.25
1409,2
1633,
1664,
1624,
1693,
1643,
1605,
1648,
1675,1
1674,1
34,
1663,
1700,
94,
1578,
1677,
1678,
1667,1
1573,
1617,
1591,1.1
1,
1645,1.4
1695,
1671,1.2
1685,
1606,
1668,
1656,
1623,
1600,
147,
1701,1.5
1538,
1472,
1661,
706,
1705,
1751,
1827,0.1
1731,
1733,
1777,
1802,
1711,0.1
1810,0.3
1713,0.1
1829,
1732,
1761,
1646,1
1682,
1226,
1789,0.444
1722,1.25
1622,
1766,
1734,1.7
1723,
1720,0.8
1813,1
1704,
1803,
1760,1
1726,1.5
1754,0.88
1774,
1816,
1721,
1823,0.9
1807,
1729,0.22
1730,
1725,0.25
1770,0.6
1714,0.14
1679,0.25
981,
1735,
1763,3
1566,
1174,
1764,1
1738,0.25
1739,0.25
1740,2
1817,1
131,
1742,0.8
1773,
1744,0.3
1815,5
1736,0.5
1825,
1762,0.1
1748,0.5
1753,0.25
1747,
1752,
604,
124,
1727,0.3
1765,
40,
1819,
1769,1.5
1706,
1631,
1749,
1728,0.9
1758,3
1757,3
1716,
1718,1
1719,
1794,
1717,
1702,
1709,0.14
1768,2
1778,
1707,1
1776,
1782,
1599,0.75
1741,
1804,1.2
1798,
1784,0.75
1743,0.49
60,1
1796,
507,
1703,2
1826,1
843,
1171,
1788,0.333
1771,50000
1805,
1795,0.7
1820,1
1737,30
1715,0.5
1670,0.499
1799,1
1801,
1791,
1264,
1824,0.6
1800,
1756,3
1759,
1772,
1797,
129,
1790,410
1792,
1785,
1830,
1781,
154,
1141,
1779,
1143,
1783,0.8
1767,1.8
1780,1
1230,2
1916,
1889,2
1890,2
1835,2.5
1849,
1838,1
1836,1
1822,3
1917,
1724,1
1914,0.25
1637,0.5
1871,
1894,2.71828182849045
1882,
1843,0.5
1811,0.25
1683,
1846,0.5
1944,4
1924,
1942,6
1879,
1831,0.75
1934,
1841,0.25
122,
1821,
1856,0.38
1858,
1859,0.5
1919,10
1861,0.7
179,
1947,
1893,
1847,
1848,3
703,2
1839,
1902,
1870,1.2
1755,0.44
1873,
1874,
1845,10
1875,0.25
1915,0.25
1957,0.4
1865,
1251,
1834,
944,
1833,
1928,1
1926,
1945,
1899,0.5
1898,0.8
1885,
1884,
1880,2
1900,
1868,
1003,
1855,
86,
1876,
1886,2
1877,
121,1
10,
7,
651,
1853,0.4321
1549,0.14
1888,
1896,
1901,
11,3
1922,
696,
1921,
1909,
1925,2
1903,
1940,0.73
1905,5
151,
143,20
1911,0.8
1850,
1904,
1937,0.1
1746,1.337
46,
1867,
1949,
1844,0.3
1842,
1892,
1872,
1897,
1946,1.5
1883,
1887,
1918,
1869,
1948,2
1891,
1878,
1941,2.5
1912,0.5
1913,0.25
1930,0.5
1931,
1929,
1837,
1935,
1160,1
1881,1
1419,
1347,
1933,
1953,
1360,
1955,
1910,
1920,1.5
1907,
1866,0.5
134,
1908,
1943,
1372,
1812,0.85
1895,
1936,3
1906,
1956,2.5
1840,
1951,1
1954,
1958,2.5
1960,0.6
1961,0.8
1962,3
1852,
2024,0.8
2050,
2018,
1969,
2039,0.8
1964,
2086,
2093,
2046,1.5
1832,0.3
2026,0.3104
1997,
1977,
1978,
1979,0.25
1980,
1981,0.25
1982,0.25
1983,0.25
1984,0.25
1986,1
1987,1
2090,0.55
1988,0.8
1989,
76,
2008,
1963,
1992,1
1994,
2030,
1976,1.2
2000,2
2051,
2028,
1975,
2022,
1952,
2059,0.3
1939,
2080,
1974,
2067,
2066,0.8
1973,
2007,
1990,
986,1
1972,
2062,
2074,
2083,
2033,
2058,
2031,0.6
1967,
1750,
2005,
2009,1
1368,2
2025,
98,
1965,
2032,0.8
1999,
2006,
2001,
2010,1.8
2004,
2011,1.3
1854,0.55
2029,
2012,2
2014,1
2015,1.5
1291,
2042,1.444
2017,
1996,
2021,
1971,
1932,
2056,
2061,
2085,1
2036,3
2037,0.5
2092,2
2034,
2040,1
2041,
1968,2
2073,
2078,0.5
2035,
2002,
1851,3
2079,1.6
2043,
2038,
2057,
1923,
1787,2
1809,0.1
1959,
2019,
2045,2
2070,0.8
2076,
1808,
1950,
2047,
2060,1.6180339
2054,0.6
2053,
2071,1.25
2052,
2048,
2044,
1985,25
2055,0.6
2016,
1927,0.7
1998,0.5
1991,
2072,
2084,
2075,1
1555,2
2088,1.2
2081,0.8
2063,
2003,0.3008
2094,
2087,
2091,
2068,
2098,
2089,0.7
2205,1
2099,1
2122,
2020,
2123,25
2102,
2155,0.5
2103,1
2104,3.141592
2209,1
2105,1
2231,
2178,
2187,
2172,3
2096,
1806,0.1
2150,
2148,0.9
2161,
2108,1
2193,0.2
1995,
2133,
2124,
2095,
2111,1.28
2147,
2196,
2164,0.25
2107,
2158,
2157,
2069,
2112,
2159,1.3
2106,
