tokenId,thumbnail,standard
1,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmX4ECCmA4HZSPxzsgq8CxwL9abFu7jTBCCersuiC9Pw6d?w=150&h=150&gifq=100&s=3bf151ebcbed4b06e4de92d0326a06d2,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmX4ECCmA4HZSPxzsgq8CxwL9abFu7jTBCCersuiC9Pw6d?w=400&gifq=100&s=7de067ef2e75369f1e1c37b3b92820f1
2,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmRe3WvttmMR7mELgaq7SZdsnsxZcXEfRf2CMhGREL7fFW?w=150&h=150&gifq=100&s=121c786ae7dabde632ef461808fc4787,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmRe3WvttmMR7mELgaq7SZdsnsxZcXEfRf2CMhGREL7fFW?w=400&gifq=100&s=92d2f91923b34fafa215dc7efdd1d912
3,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYCyvs9JwKTAChpriUtRu8vMALaSfiVosy7HbBEcbLswN?w=150&h=150&gifq=100&s=a059e37bc18d2e16b841b6adba636c17,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmYCyvs9JwKTAChpriUtRu8vMALaSfiVosy7HbBEcbLswN?w=400&gifq=100&s=cea5afb1d98f1db4c18fea4f400b56e5
4,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmar9LZwD1DAVbYe7hXQw3TbanUCetepJft7nqCxaX6ke1?w=150&h=150&gifq=100&s=584e2b7222a9ebcde75e7f1135dd779e,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmar9LZwD1DAVbYe7hXQw3TbanUCetepJft7nqCxaX6ke1?w=400&gifq=100&s=4bd63916504d56ffa2cc0647122a00e7
5,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmQnek3m4UtBQxqsqJAi4AtMpd6tNbeDVr4NGJuDQnKq87?w=150&h=150&gifq=100&s=7dbecc1e35a874955ae9bf0af7071752,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmQnek3m4UtBQxqsqJAi4AtMpd6tNbeDVr4NGJuDQnKq87?w=400&gifq=100&s=4b1f59409bba188b765091cb5ce79c83
6,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmRvuHEk2KG9tDNtWDyTUKwxo5pNDnRffkeCvMR3ppzdP9?w=150&h=150&gifq=100&s=cb986e42d2279647e3feac4bf89d3f45,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmRvuHEk2KG9tDNtWDyTUKwxo5pNDnRffkeCvMR3ppzdP9?w=400&gifq=100&s=07afd7bee84c4fb60d348550a802efb7
7,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPVzZKSci6izfUkH8PuAkhAN42RZBV72nANy8hkgZuB4G?w=150&h=150&gifq=100&s=f78451ecbff0ee79cced10f33288d7e5,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmPVzZKSci6izfUkH8PuAkhAN42RZBV72nANy8hkgZuB4G?w=400&gifq=100&s=597409b4baae7982a64579914f74144f
8,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmVMaF2LKGUu7rGLM7ibcEuoxa59PZ11wy7twvberqrLcr?w=150&h=150&gifq=100&s=420bec148683b143a6a53c83df8bb6f1,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmVMaF2LKGUu7rGLM7ibcEuoxa59PZ11wy7twvberqrLcr?w=400&gifq=100&s=e0ff585b0e28a2d7bcb99f3d2e1866b4
9,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQma7WZLX8nCQehdKzTCjko1nXfHex2JCKKhi89LMAoCwxF?w=150&h=150&gifq=100&s=11f971dc0cd51fac2f5cea3848b05ebc,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQma7WZLX8nCQehdKzTCjko1nXfHex2JCKKhi89LMAoCwxF?w=400&gifq=100&s=aad21f7b2e4135884b65b2b39808b31e
10,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmSJjfxcn8ki9SDhUtgefpLX6aS7RNFSEZ1xXgR8vTUVXm?w=150&h=150&gifq=100&s=5b9051ca822fcc7fcdd94e0a831b5d41,https://pixura.imgix.net/https%3A%2F%2Fipfs.pixura.io%2Fipfs%2FQmSJjfxcn8ki9SDhUtgefpLX6aS7RNFSEZ1xXgR8vTUVXm?w=400&gifq=100&s=0a3209d9615eefe045cfca8b7748e026
