refid,type,tokenid,numviews,hasliked,datecreated
9b7bc7c960a1dbd2eda9bc46f1af64ee,fingerprint,1131,0,f,2018-12-04 18:34:22.926201+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,704,1,f,2018-12-04 18:36:46.065373+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,1012,0,t,2018-12-04 18:34:56.223643+01
71bd22a3bae97aea92da6016c6493294,fingerprint,66,0,f,2018-12-04 18:35:02.193789+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,66,0,t,2018-12-04 18:35:03.938081+01
71bd22a3bae97aea92da6016c6493294,fingerprint,948,0,f,2018-12-04 18:35:15.462495+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,948,0,t,2018-12-04 18:35:16.780535+01
71bd22a3bae97aea92da6016c6493294,fingerprint,1012,1,f,2018-12-04 18:34:08.69957+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,1108,0,t,2018-12-04 18:35:31.795616+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,1092,0,t,2018-12-04 18:35:36.885582+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,1060,0,t,2018-12-04 18:35:39.759936+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,1090,0,t,2018-12-04 18:35:42.795931+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,1026,0,t,2018-12-04 18:35:46.591738+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,1019,0,t,2018-12-04 18:35:49.616087+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,1017,0,t,2018-12-04 18:35:53.167817+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,1018,0,t,2018-12-04 18:35:56.966694+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1017,1,f,2018-12-04 18:35:51.796904+01
71bd22a3bae97aea92da6016c6493294,fingerprint,1116,0,f,2018-12-04 18:36:00.055047+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,1116,0,t,2018-12-04 18:36:01.280948+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,969,0,f,2018-12-04 18:36:03.259182+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,969,0,t,2018-12-04 18:36:04.575936+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,948,0,t,2018-12-04 18:36:08.677824+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,915,0,f,2018-12-04 18:36:11.523737+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,915,0,t,2018-12-04 18:36:12.510038+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,930,0,t,2018-12-04 18:36:16.472981+01
fefa1cb4f3b1f93ada3bf9d900715974,fingerprint,1131,0,f,2018-12-04 18:36:17.010455+01
71bd22a3bae97aea92da6016c6493294,fingerprint,1109,0,f,2018-12-04 18:36:19.236784+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,1121,0,f,2018-12-04 18:36:19.330511+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,1109,0,t,2018-12-04 18:36:20.672512+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,875,0,t,2018-12-04 18:36:20.720309+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,ethAddress,1012,0,t,2018-12-04 18:36:21.300971+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,683,0,f,2018-12-04 18:36:24.576009+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,683,0,t,2018-12-04 18:36:25.836296+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,685,0,f,2018-12-04 18:36:29.1515+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,685,0,t,2018-12-04 18:36:30.102473+01
71bd22a3bae97aea92da6016c6493294,fingerprint,1102,0,f,2018-12-04 18:36:30.169877+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,1102,0,t,2018-12-04 18:36:32.836804+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,686,0,f,2018-12-04 18:36:32.918127+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,686,0,t,2018-12-04 18:36:33.936365+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,690,0,f,2018-12-04 18:36:36.480149+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,690,0,t,2018-12-04 18:36:38.839832+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,703,0,t,2018-12-04 18:36:43.200339+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,704,0,t,2018-12-04 18:36:46.97752+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,703,1,f,2018-12-04 18:36:41.577057+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,873,0,t,2018-12-04 18:36:55.276925+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,875,1,f,2018-12-04 18:36:19.076872+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,887,0,f,2018-12-04 18:37:08.383128+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,887,0,t,2018-12-04 18:37:09.364713+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,875,0,t,2018-12-04 18:37:10.563079+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1092,1,f,2018-12-04 18:35:35.168507+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,811,0,t,2018-12-04 18:37:13.856062+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,737,0,t,2018-12-04 18:37:18.076594+01
671b6b6a60c60c21a1ff5f1564d2e8726bb12b66,ethAddress,736,0,t,2018-12-04 18:37:21.930102+01
71bd22a3bae97aea92da6016c6493294,fingerprint,589,0,f,2018-12-04 18:37:29.389016+01
71bd22a3bae97aea92da6016c6493294,fingerprint,160,0,f,2018-12-04 18:37:44.913739+01
ac875179c11d4641fe6afe30b3421dde,fingerprint,1012,1,f,2018-12-04 18:34:22.223043+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,872,1,f,2018-12-04 18:36:59.329874+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,967,1,f,2018-12-04 18:37:24.169141+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,935,1,f,2018-12-04 18:37:18.965677+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,118,1,f,2018-12-04 18:37:20.748827+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,936,1,f,2018-12-04 18:37:14.660577+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1090,1,f,2018-12-04 18:35:41.646222+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,930,1,f,2018-12-04 18:36:15.68384+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,872,0,t,2018-12-04 18:37:00.322897+01
71bd22a3bae97aea92da6016c6493294,fingerprint,811,1,f,2018-12-04 18:37:12.618578+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,948,1,f,2018-12-04 18:36:07.10633+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1060,1,f,2018-12-04 18:35:38.697625+01
b3007ff3c3f40bdf0126fec7c8e43c3fc50ea813,ethAddress,118,0,t,2018-12-04 18:37:21.953643+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1108,1,f,2018-12-04 18:35:16.508871+01
71bd22a3bae97aea92da6016c6493294,fingerprint,720,1,f,2018-12-04 18:37:24.672474+01
431f34ae949c8a1eebfb1f58fe0716fd,fingerprint,996,1,f,2018-12-04 18:37:04.51229+01
99ad2e64769656d251e1b3de273ad3fb,fingerprint,1019,1,f,2018-12-04 18:35:48.841787+01
